video_name,label
D:\deepfakes\data\train\train_00\dfdc_train_part_0\owxbbpjpch.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\htorvhbcae.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\fckxaqjbxk.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\sphirandia.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\vsmadeuczx.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\ohaqlzfnuv.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\komngcqveq.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\iafvzgpbix.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\uaukglhmje.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\dtjcyzgdts.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\viuioldtnu.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\wnaweyzlqh.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\ejhhdlzpjg.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\sxyrkshzsg.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\uvfkppqsjy.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\kedahvzait.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\idczhqbbqz.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\clzkcmoyhb.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\vpjfmetsvn.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\muksyyltmg.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\ztwlbdwyni.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\jaurxwocly.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\jkxjvuioek.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\rfpjsloxzg.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\kmcdjxmnoa.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\vvwuqslvnq.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\rpxnyljmsf.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\txxungvxms.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\ihnhxathkq.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\lobxktzhbg.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\slhinthqcq.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\hqzwudvhih.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\xpzfhhwkwb.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\sglzgdcjkb.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\xxvwbfmgzy.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\dtmlspmqqp.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\hsxrmrcaqh.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\ykbhmueovi.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\inzrlbgtul.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\xtcbnasaew.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\kgfcupxgur.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\nkojmntmdg.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\btizoxwqwp.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\zvsivkdkak.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\yjllqhbmke.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\ygknkubeyb.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\wkczijuamz.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\dolynaukae.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\eisofhptvk.mp4,1
D:\deepfakes\data\train\train_00\dfdc_train_part_0\xymeodlrhb.mp4,1
